Bill Date,Total Usage (kWh),NG Current Charges,Supplier Current Charges,Total Current Charges,Total Delivery Services,Customer Charge,Distribution Charge,Transition Charge,Transmission Charge,Energy Efficiency Charge,Renewable Energy Charge,Distributed Solar Charge,Electric Vehicle Charge
7-Sep-23,1188,$192.03 ,$110.52 ,$302.19 ,$192.03 ,$7.00 ,$93.38 ,($0.79),$48.11 ,$31.42 ,$0.59 ,$12.11 ,$0.21 
6-Oct-23,1338,$216.97 ,$124.47 ,($322.92),$216.97 ,$7.00 ,$106.73 ,($0.90),$54.18 ,$35.40 ,$0.67 ,$13.65 ,$0.24 
6-Nov-23,2296,$377.50 ,$213.60 ,$590.74 ,$377.50 ,$7.00 ,$193.34 ,($1.54),$92.99 ,$60.73 ,$1.15 ,$23.42 ,$0.41 
7-Dec-23,3039,$497.42 ,$282.72 ,$779.78 ,$497.42 ,$7.00 ,$255.93 ,($2.04),$123.08 ,$80.38 ,$1.52 ,$31.00 ,$0.55 
10-Jan-24,3664,$594.62 ,$340.86 ,$935.12 ,$594.62 ,$7.00 ,$308.56 ,($2.45),$148.39 ,$96.91 ,$1.83 ,$33.72 ,$0.66 
6-Feb-24,4469,$712.98 ,$626.15 ,"$1,338.77 ",$712.98 ,$7.00 ,$376.31 ,($3.00),$181.00 ,$118.20 ,$2.23 ,$30.44 ,$0.80 
6-Mar-24,3980,$643.81 ,$557.64 ,"$1,635.41 ",$643.81 ,$7.00 ,$342.66 ,($2.53),$161.60 ,$105.27 ,$1.99 ,$27.10 ,$0.72 
8-Apr-24,3849,$652.72 ,$539.28 ,($582.34),$652.72 ,$7.00 ,$359.21 ,($1.92),$157.81 ,$101.80 ,$1.92 ,$26.21 ,$0.69 
7-May-24,1854,$321.45 ,$259.76 ,$580.85 ,$321.45 ,$7.00 ,$173.33 ,($0.93),$76.01 ,$52.15 ,$0.93 ,$12.63 ,$0.33 
6-Jun-24,1362,$245.89 ,$190.83 ,$436.36 ,$245.89 ,$7.00 ,$128.04 ,($0.68),$55.84 ,$45.48 ,$0.68 ,$9.28 ,$0.25 
8-Jul-24,1384,$249.78 ,$193.91 ,$443.33 ,$249.78 ,$7.00 ,$130.09 ,($0.70),$56.74 ,$46.21 ,$0.69 ,$9.43 ,$0.32 
7-Aug-24,1242,$225.09 ,$174.02 ,$398.75 ,$225.09 ,$7.00 ,$116.76 ,($0.62),$50.92 ,$41.48 ,$0.62 ,$8.46 ,$0.47 
6-Sep-24,1268,$229.65 ,$177.66 ,$406.95 ,$229.65 ,$7.00 ,$96.81 ,($0.64),$51.99 ,$42.34 ,$0.63 ,$8.63 ,$0.48 
3-Oct-24,1048,$191.12 ,$146.84 ,$337.60 ,$191.12 ,$7.00 ,$80.11 ,($0.52),$42.97 ,$34.99 ,$0.52 ,$7.13 ,$0.40 
5-Nov-24,2092,$378.56 ,$293.11 ,$671.18 ,$378.56 ,$7.45 ,$164.47 ,($1.05),$85.77 ,$68.86 ,$1.05 ,$14.25 ,$0.79 
5-Dec-24,2985,$552.06 ,$418.23 ,$969.80 ,$552.06 ,$10.00 ,$255.19 ,($1.49),$122.38 ,$90.29 ,$1.49 ,$20.33 ,$1.13 
8-Jan-25,5444,$997.73 ,$762.76 ,"$1,760.00 ",$997.73 ,$10.00 ,$463.90 ,($2.73),$223.20 ,$164.68 ,$2.72 ,$37.69 ,$2.07 
6-Feb-25,5354,$978.62 ,$750.15 ,"$1,728.28 ",$978.62 ,$10.00 ,$451.47 ,($2.68),$219.52 ,$161.96 ,$2.68 ,$39.03 ,$2.03 
7-Mar-25,4256,$799.61 ,$595.84 ,"$1,394.96 ",$799.61 ,$10.00 ,$361.38 ,($1.99),$191.94 ,$128.74 ,$2.13 ,$31.03 ,$1.62 
7-Apr-25,"2,753.00",$560.67 ,$385.42 ,$895.60 ,$560.67 ,$10.00 ,$238.80 ,($0.99),$159.62 ,$83.28 ,$1.38 ,$20.07 ,$1.05 
7-May-25,"1,878.00",$378.87 ,$262.92 ,$641.30 ,$378.87 ,$10.00 ,$164.07 ,($0.67),$108.89 ,$56.81 ,$0.94 ,$13.69 ,$0.71 
6-Jun-25,"1,387.00",$270.98 ,$194.18 ,$464.67 ,$270.98 ,$10.00 ,$123.98 ,($0.49),$80.42 ,$41.96 ,$0.69 ,$10.11 ,$0.53 
8-Jul-25,"1,334.00",$280.34 ,$186.76 ,$466.61 ,$280.34 ,$10.00 ,$119.25 ,($0.48),$77.35 ,$39.87 ,$0.67 ,$9.72 ,$0.96 
